block_number,pair_address,token0,token1,creator_address,liquidity_eth,is_locked,has_mint_function,creator_funded_by_tornado,status,drop_percent
18000016,0xcffc0f85d813b368df9c41a82460d86e73a0bb4c,0x896554d836f54563b792c4e2d2c2fc7e9a53915b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x331061c31357aa0e0067f452c0013247c6c28707,4.1,False,True,False,RUG,-85.48
18000017,0x62b3e09f7f6f92d81f48d846dcbeca5ac63adb28,0x9cf5f1ddae07382e90dc4c2d4716085fc3c57977,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdaa75b20a8db56cea39bf2ef53608a1782d18eb0,2.84,True,False,True,RUG,-95.62
18000018,0x839a02149e365b20100e58db4b7fe8751da4af44,0xf7437341e406f9beb22a6a79560891f6c010efc5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x730727cc7f5d833d62c7c762870f5ef9fe506db1,3.66,True,False,False,RUG,-95.74
18000019,0x8dce65f11b829f77a78024f2b68c612b9c1f1a94,0xea98504371d75acfecbc0704d5e3271c43b20f2e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1918f098dfa8a66fb97256e1dfa5882b1d0069c6,3.9,True,True,False,RUG,-97.64
18000020,0xbaef85d2c3c265d26354eb47ca00e5c4be3ec8c7,0x6c1f723e93a7f680a9240e8d8d8c33262425258e,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf5f18b46d0a6c8c87bd8f8d8d17fc325636bf7cc,4.16,False,True,True,RUG,-90.93
18000021,0xe488542c200d1b3aba6daf65cabc9301c98d1bee,0x8064d6185f0b73e1143911f02e998f13b64bf121,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf2ca595b7d9fa1b12a24b843b98945849b12674a,3.6,False,True,True,RUG,-99.22
18000022,0xaa6bc0bfbdd2d8b3dd3ccf04a78fb42b544141c0,0x8d0b288453bc24ed0c160b2bb8d6b37541470400,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe8150dfe9e161d179f9922f009ff189e8be61587,3.05,False,True,True,RUG,-93.39
18000023,0xb02ed822e48501c92ed1a080b8da58c1897070c4,0x88412256efaa7f0a5d24bd68366bb7a4cb8d935b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xdd347c962e4c82bafc74cc939fc7f9c3c4ebac59,79.92,True,False,False,SAFE,18.97
18000024,0x1ade54bb88e464ae0cf328874269fe5b4ea968f5,0x7967ab51e542e06c8b0051e8c804f19ff8b2106b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x86ec82f99d4d5f1fe000ab5925fc2fa590962c84,2.89,True,True,True,RUG,-96.34
18000025,0x6e038ee0d918d7844f4ffc87c271a156f4df6b32,0xb880737eae04a629fce9f87fda77b93cf16e492c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x668e8ca9cae3fe87487504a793a79efc5edabf8a,2.56,True,True,True,RUG,-89.3
18000026,0xf171abbabf7e6308a3b017005028454f1f966b53,0x247ea9bbbded07d30104fb3986f0bb6464096598,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf6a073605b88635cf671154831fdcf36dbfd2086,1.79,True,True,True,RUG,-94.74
18000027,0x744b10d2612feb8478397341016fe1cc242dfdb2,0xadbce85093a18a13ac22006539ebfa57542ee8c2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2a5a242e24061e756293ab19ba0b17d07373d01f,2.45,False,True,True,RUG,-99.89
18000028,0x0099ef9ed9126a001576b4280c9bc9218ad2ad14,0xa0db4ceef7293e92b66720c1241478ed8d2e4440,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc2be8382f61a79a54cba77c8ba04cb018e57eaa5,4.46,False,True,True,RUG,-94.79
18000029,0x61b6c9aa67afe02fb5c51343257a64456989fe36,0x0663f98590dd42b60e8ceece03121ae953c86221,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf7a79589f65df352a19b8db7f995fca9731ac08b,2.03,True,True,True,RUG,-85.22
18000030,0x58f745b810ab9235583a42ced90387ff1bbab2f7,0xcbd3d5211a5d28e4413983144fbf38c41381eada,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe5ca5db390c2df1abfec6bc6501d2d89a74b0f2c,95.12,True,False,False,SAFE,5.39
18000031,0x52e068a4323e00927ea4873a98473cd559d857b2,0xab2b67c8d23f4c25e398096645140396aa432203,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0dfb801af2a9112c5a5f2de47b3e5ff5ab1c4122,4.27,False,True,True,RUG,-98.27
18000032,0xffd7cfc092e71525e425b4593424ebe7e2f50346,0xd562afd897ea3d1e68642f4f7f9b19ec962be1ba,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x966a78cfab8d4b39b3e0aa6e4b7fe1d37f21569b,3.71,True,True,True,RUG,-93.38
18000033,0xd76aef6bbfd52ca14d27af2f3e2d69b41238709c,0xe8f4c960204ffc7a2d6764451f74de8719cb2203,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xeb80437b8a179870208e781f34424496e5d3937c,35.11,True,False,False,SAFE,-6.77
18000034,0x667243a6f5082803a490617cd5237707570bea5e,0x130e7cc26e2d70141cfad6f922d8a835bea400f3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x56ae7dcdac43d84cc8926c19bf271a7373551791,1.81,False,True,True,RUG,-81.59
18000035,0xbf42676e7570636c6b4000f2e915d41ce51f0565,0xd7cf862604ca3c3e2f64c89541ab7c7e318111ac,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf7a9e6e2cc161f65a59a1c2656175d858de4d33b,3.46,True,True,True,RUG,-82.22
18000036,0x3cf337deb664b9bd9d9c8a92b411ff0b9ce9a4ae,0x1cb7adf6cf563e9e9c44e2f0ed73ef15896600e8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9a61324d9a56060e5505451fb236aecae7285fd3,2.22,False,False,True,RUG,-83.45
18000037,0xe31b0fb6a7e5a426def35c926e0358ad8bf4753b,0x2c7a7b7604ce45e0910334629108212e61884e81,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe4e904d40048084ac514ecf6ac4e0895a46d2911,3.52,True,True,True,RUG,-90.79
18000038,0xafcf0c43d3ea18cd4f1a09b0dae54f3d1c17df6c,0xb550b3227f31c52461788f39141b58305fa9fb84,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7d7ecf50f566b2361356abf568b2aa1724c87bc6,62.13,True,False,False,SAFE,3.23
18000039,0xcfabf9f3efabfa885334dc423074c50b2e1e03e8,0x8f32884896e8079e6c21d11e4b7496bcf66ec871,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe0f7d5dc58b9e58b0832126b99ee917c521675b1,1.46,False,True,False,RUG,-80.99
18000040,0xfc631d5d11a4eab91c047c1d226637cb1c92c3a3,0x9a556d0cdb1cb80103e60142bcb0953cdb449575,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x057362626c200b5adaa1427fd82f239e0b19f400,0.54,True,True,True,RUG,-80.25
18000041,0x142e271f0d641d9481bdfe4e0fb31c03562799e7,0x4f2a76db672c2765e64676ff65eede75bf35a478,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa10a01abe881160dbc086b3f9b5a6e495e24fe95,74.35,True,True,False,SAFE,47.41
18000042,0xbcb7ffcaa053bde5f95dc4c895df565d363eaa79,0x9f0b0a9e3b324a8bc7a8f3b84ab0cd1758c5361b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xed39f115012f90fad3aa441e98dbc5c91f6b5f89,0.47,False,True,True,RUG,-86.27
18000043,0x0cf3473e0fecf83c52894961597db3b9544b21a3,0x2bf1b358a8eaadd7c95b41745500d49a22ca1164,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x6f91fdf7b335d50aa17d0c01dbc82fdbbf22f943,3.78,True,True,True,RUG,-80.96
18000044,0xadaea07a9df2d0c2b67a26788efe0a6dabbe690f,0xe46243adb3b7d948e76de1c82570d8b30629b579,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xacbea9088b4dd9335cbd066b28406344134c10db,92.33,True,True,False,SAFE,37.24
18000045,0xb3b0d2f625b9e3e8762a46bc56d2c9f178edfbb1,0x65577f5c386ccc6f8bf04d88db0ab1cd07b92ece,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfd1be3ede964b31634bfb4a94dc7b9c84b045dac,0.51,False,True,True,RUG,-91.8
18000046,0x7e7fc2a5946a6a0d3e451c0be1dba5428c636572,0xeb81d39720943cbbb583bb7b14c8c0c26a0392ab,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3564adcce7d8a54a12aea587dbb39147cb853972,97.09,True,True,False,SAFE,31.22
18000047,0x3153fae2133195ba34568d6c8d94b75a66613df5,0x97d36c9ab1662712c7f264a50cc5499908a32f72,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xb201c16224b98ea8a7c17c5481e61e20c35aa954,2.57,False,False,True,RUG,-91.52
18000048,0x354947cc13dff4a6edc154c9f5403e7685496c90,0xb22ec07700e6665e4d4c0870fb9e1af1f1c3b355,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7e594f57ccd3dffde73d686d5bdcd7ace40342ad,2.1,False,True,True,RUG,-86.2
18000049,0xe6fc2aa1b134478c2fb7fd2e07296a0288d97369,0x960b108fbd7bbe8cef1fbb32256971824ede59b2,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd4918d4f871ad48bbcfa7d01594a88498512b665,0.62,False,True,False,RUG,-98.73
18000050,0x80b4fc8dd9daca1923fb2046bc68ef946c4b7843,0x4c08511422d6194d09ba732b0714265696a1b2e4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc89df2f6824590c5f65fc1c3bcadc6f42334f5ba,21.08,True,False,False,SAFE,46.2
18000051,0x65e7da27acbdbc163f31a126d054cd311a0e964f,0x177cb9a057ab1036a0bbcb36ef4e9fcce44c6ada,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xb86b9395deb6111a1f1e47a2b3472f7cde761bc0,4.33,True,True,True,RUG,-98.49
18000052,0xe922b5b408303c55f89d582428f895c7f182555f,0xa821bb6825d86b100d77e67f482895aa111ba0ff,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa0848acb212413acd225070e898e3ba470cc110a,4.54,False,True,True,RUG,-86.58
18000053,0xabe6bb85999bc5293789bd21b5b6d54e8b5837a9,0x9cd6e40a82487a95756e822d9c281c938131e80a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd5f6a9ca319805995702c3f0367dd31549b0f9a4,0.91,False,True,True,RUG,-88.41
18000054,0x43525f45ee815f7cb598d0d2802346f7668328e0,0x38248609295d691fb3d97a44657695a333dd5774,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xb82fca245ce06cd2b35561b35195e86de8b0d7d6,4.08,False,True,True,RUG,-96.29
18000055,0xb6bd65ef6227c1d50908c75a8f9fbcf690e0c1fd,0x8dc038817ae62b6f49be66ffb83900557f827703,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9485e155985d892ea76f74bb9c4556bf4ffdef0a,85.38,True,False,False,SAFE,12.73
18000056,0x49e357df1ec039f4658217f72b76626bf6977821,0xfd98eda19388c5c5a24894940a18145872fc3593,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2ee3184ca03ddd7712872effcb121b64e0007639,2.05,False,False,True,RUG,-80.3
18000057,0x11619f00c111aeaceb08069826b5a890034c2864,0xe93b9648e926c6d33344a2f60dab28ad8fa9360a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2209c1364c2153c3df908c3aa9e9f680a423caf3,4.28,False,True,True,RUG,-86.73
18000058,0xcfa1749313af7acf1a7edee91164336473b9299b,0x7524913d80fac0562c5364983976266c0e356300,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x9fd59915906c789091433afce7865514159df632,4.64,True,True,True,RUG,-87.12
18000059,0x82198a27bebc3a169a10242ba07fe81df4c0ff31,0xfa4f7693e2880b4e65486cf95c9dbb81d12cd190,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xd9fdc54b7141e8b0ced0ba7cbe1a35c3cffa646d,64.23,True,False,False,SAFE,36.68
18000060,0xf7e2007f74ee5c55bc44c1714e847befc4f53289,0x9c5dba111eb741cfba35b2dbca5f3db5467605fd,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x80e28f9f7e6bc05a8ec066a9f8655799994a7eb2,63.72,True,True,False,SAFE,6.63
18000061,0x5cd9accd09b24699883e426119b17fdd311782d2,0x68d490be6ae765e959e00cf36548c48d98e5f801,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x0c7b1998390077bfb90237c8678bdd1fa6ab0f11,4.54,False,True,True,RUG,-83.09
18000062,0xc89b41eaaae397524b7b62bb8b5936fdbd42d176,0x2797d8fc19d0261945817cbd65c5a3d272e70552,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3b86d7e698855ab76f9cdf031627b6ab069eebf1,1.24,False,False,True,RUG,-85.2
18000063,0xf52a82c09ab2f38b022a579fa1753d801b77c220,0xae83a35b6a26200fafd469d828ee87d316db24d4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xee5b3e8d7b8d19ff78abed71a82ccfd208535dac,95.2,True,False,False,SAFE,20.58
18000064,0xbc5d9a64720085dbcf151a655f296fee040d5d37,0x674363cd795fa7ce44d63ee949a756dc38b5d045,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xffe323454d4d8807405e78a85589e92df312fe4e,2.1,True,False,True,RUG,-92.19
18000065,0x7924e38ba330329da61b55c156c5d21b193fb376,0x7ee55b4f61ee29eaa217750f48e48760ba6dda37,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x37228ae0621e480c66f8027aa26815cc4bd1e34c,13.76,True,False,False,SAFE,-11.87
18000066,0x684df2b8fea820ee05e1d48e4996fce1eb881eba,0x95d10046cfc3040b6abee1d08c1417655fe47608,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xddca1ba6c25b6321a26a697b43854cf2d3f46db4,2.26,False,False,True,RUG,-81.49
18000067,0x4dfa58cd5b6351abfc0987e6d39178d686570fef,0x5d66f2211df4b885cb221a07e4f800971efd8fcf,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x4abda83ba8831ca616c8a79bbd7212e4f9fff5d5,2.57,False,True,True,RUG,-93.67
18000068,0xff817ad6d3fac72063d1a04db52f1ea85d8e36b2,0xa91f0bae7926bc027aba3db1e7b8c6134509aa8c,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x5760f8a5a6630786282634ee5b413fd84cb36a75,59.25,True,True,False,SAFE,24.38
18000069,0x053702891ad1f965a453cf1f76919ab43f636778,0xe2fa55e6880d90244e4f4c742ec195024abee6f6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x57f78d57f3eccae3c3f118c78a5891753d44f521,1.21,False,False,True,RUG,-98.64
18000070,0xf3cc83e8c8304cf7c623c5651849d3a96da0956a,0x7c32352ded5bfae21bc4263f16ee77e7545a5f45,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xaa470a6a216c72689650e232cef35ebc2bcbfe17,4.86,False,True,False,RUG,-97.41
18000071,0xca1ae766b4a71acc2532e789abe55d414a280671,0xb96c6f7e09e8cbb665b7fdd5c1334103564a58b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x212ed4547284930aee549b46ea4ce3e4630ee1af,2.92,True,True,False,RUG,-96.21
18000072,0xc3f940e44ca1b99694222d7887b7ab073ecd124a,0x053243c7d7aef88d0246857ef9b039ff7e8603a5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa7d8785e0eead9eb419950534e1543f3af0ea07c,0.5,False,False,True,RUG,-88.51
18000073,0x7916efbf7f03faeaa9d65192a410aa9e54e3de01,0xa7d47a8197528b3ee9ad2391555838ab725d2c7b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x571d7b8ae1432c0b52e793221dc70bc6c63b187b,0.29,False,False,True,RUG,-94.27
18000074,0x563b9a72a5fe4726b548ffe00aedf626c50dcc95,0xd3067fe7fa378f97053562b78ed93c470b8099e0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8321e3c009487119f02dc4856e2302a3d046ab2a,4.25,False,True,True,RUG,-89.24
18000075,0xa127ad712e2de963f4fa9521ec07c32f97b1cded,0x8b20592c3e407f809394a55054902056254221ff,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x432c433811a9653e2bb7e3c3f00078b1aa79a323,3.71,False,False,True,RUG,-91.83
18000076,0x80950fbf689f39dd9556086d803811686babbf38,0xf1a41b9c1f65beaf635108393b4e2991981e0c9a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf81c2d44c72f7837e03f939be83dd03247797664,0.92,False,True,True,RUG,-90.22
18000077,0x1a91846bb32b2fc6ccd133afd3ada4237f9c379c,0x3b06ed4c99ee8d409f99e62c053ed4c05b721715,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2c8bf23d95ceb509e32602f4ba70e3b93221dbbe,4.2,False,True,False,RUG,-84.23
18000078,0xbd42ec456dc15d166fda36b823ed996d2e1c129d,0x9344a25fdc234601fe91509802ffbf3c80263599,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x7e3a89ca3929258a6ee2f1fd2fb90f6bc146a44c,2.31,False,True,True,RUG,-83.5
18000079,0x537ab9e8296bf458e2ad9e704b779bc4e78e1075,0x3f4dc5f1113524dd03bab67c40edef70a4efe680,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xfc1e550183019ae1eaf4df896651eb6d6fbf1192,0.44,False,True,True,RUG,-92.63
18000080,0xd6ff36ca8506f183f29170e1d9eb54bc1463e87d,0x9da6a2b026de49425d15c70fed069d3f33052070,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x485a9b0b8f70dca834c97a5c040ef403682daee6,4.42,False,True,False,RUG,-94.25
18000081,0x8ddee6d47e978e26d46577247d94755bf6bafec9,0x25f9d4bc460b155fbea43b666dff2bd972a80fc4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x77faf671a44f8a8b20359073fedf8c96a3ec6eef,3.88,False,True,True,RUG,-83.74
18000082,0xcc71fe990e063ebb90101db0e5fe2b4fd094352e,0x955b97409b1f49f561ad688d5033ce53704a96cb,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8003a9ae9512f82d2f2d2114d210fb439b6ec7d3,4.46,True,True,True,RUG,-84.87
18000083,0x70961d99d863f76eba66ad3b0f6cacaa67988354,0x87e37e2e284711a7adcd76b2df7b841d285cda5f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xff65d4763025a10b089910b1f93d030feca6cc00,79.69,True,False,False,SAFE,4.11
18000084,0x13f3b5f3106de7b23e05e6c499bf79afd2c8fd76,0xff87e2a04f84771002608203f4d7c69fbcb54ccd,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2ce8ad8c8fab931d29daa403ba02ce43f341501a,1.31,False,False,True,RUG,-99.47
18000085,0xd9ff9001acfdf8ad08f2b738a4789eb486e96c89,0x4a8f520760ec2fa71dcf96b131e9aed7b82ff9dd,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x97245e3041189c05f72010ff35ed14572a2a904e,4.65,True,True,True,RUG,-83.1
18000086,0x24fdac3708dbdf57cea35f22e1976986a4d199b8,0xf3ecd97bdba75c8af66f13b2074ec03831c1adc9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x88ad3cca29aaef2ea0884c27972a364a4d45fb8d,31.68,True,False,False,SAFE,9.3
18000087,0x106f8354a224b6bcfe1d71e113af10c5cd734d45,0xe789df482ce39c12db061e2a8d17575e892b8670,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x895af32923d09e4637d229e6c1e35f264061947b,4.21,False,True,True,RUG,-87.61
18000088,0x9e95c54db0378a978b029b3441d193d5e4759bc0,0x8ca495b4f5ad088750c71df6ecb4886a2f92b237,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa2ad6eeaaf0f7ff127314e843843bb5634393616,4.88,False,False,True,RUG,-88.6
18000089,0xd7d20c336b0e7e5cc384622d0680022b3b61dba7,0xc0646a0165f3689a7777ab92242356d071d4cfbd,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa4b23cdfd2cbee6f16efa2cf101ce8280b252381,4.94,False,True,True,RUG,-90.35
18000090,0xa6b121cacd8507e68f8b8521c7615b32c587cf96,0x12ca3f8e0e33b4e406525c32b899d67262ba6f95,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x57871ed0ab9fe80a4816c9890ace60f69c808c6b,16.27,True,False,False,SAFE,48.39
18000091,0x6b4eabfc79aa4cecc64fee4435234e15249bbc02,0x34210e1036cc94211536fccaa9049fbd0fa8abfc,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x58aed5d3186aabab50bf84b93a88d3d73ea1a118,19.59,True,False,False,SAFE,-0.21
18000092,0x3f1ef2efffa3284441f8248be1d71312e7e8c736,0x957f7aa8c70c6a5ef5918bd1f0d958dedf2922b3,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xa7a66e23065f7d57e25933205009b28d711b9cba,1.91,False,False,True,RUG,-96.38
18000093,0xbaf4a5613530d981c996e52dd046e5b303bcd0e7,0xd6e56116833345baf3ffb74cf46f121cab0ea982,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf425edd81e51c9e4b24a85a646b88340a6d28cfe,5.0,False,False,True,RUG,-87.85
18000094,0xce29e0ea9100d98e5cda7852f0e12d933efee086,0xb9ace3802e82bfc21c841c8064ced284acb14fb0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x3a2b4dea2527f1cafd15d82e86575cf84899ed62,4.5,False,True,True,RUG,-94.97
